filename,cvc4,cvc4 --nl-ext-tplanes,cvc4 --nl-ext-tplanes --fmf-fun-rlv,cvc4 --nl-ext-tplanes --cbqi-all,cvc4 --cbqi-all,cvc4 --fmf-fun-rlv,z3
partial_AddSub:1574_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
partial_AddSub:1619_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
partial_AddSub:1164_mem_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
partial_AddSub:1164_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
partial_AndOrXor:2063_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
partial_AndOrXor:2243_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
partial_AddSub:1539-2_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
partial_AndOrXor:2231_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
partial_AddSub:1295_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
partial_AddSub:1165_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
partial_AddSub:1539-2_values_43.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
partial_AndOrXor:135_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
partial_AddSub:1614_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
partial_AddSub:1176_values_54.smt2,unsat,unsat,timeout,unsat,unsat,timeout,timeout
partial_AddSub:1619_values_63.smt2,unsat,unsat,timeout,unsat,unsat,timeout,timeout
partial_AndOrXor:2647_values_7.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
partial_AndOrXor:2265_values_25.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
partial_AndOrXor:2231_values_33.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
partial_AndOrXor:144_values_48.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
partial_AndOrXor:135_values_4.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
partial_AndOrXor:2063_values_11.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
partial_AndOrXor:2595_values_36.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
partial_AddSub:1295_values_34.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
partial_AndOrXor:2367_values_4.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
partial_AddSub:1614_values_56.smt2,unsat,unsat,timeout,timeout,timeout,timeout,timeout
partial_AddSub:1165_values_27.smt2,unsat,unsat,timeout,timeout,timeout,timeout,timeout
partial_AddSub:1574_values_13.smt2,unsat,unsat,timeout,timeout,timeout,timeout,timeout
partial_muldivrem:239_values_45.smt2,unknown,timeout,timeout,timeout,timeout,timeout,timeout
partial_muldivrem:229_values_9.smt2,unknown,timeout,timeout,timeout,timeout,timeout,timeout
partial_AddSub:1164_values_0.smt2,unsat,unsat,timeout,unsat,unsat,timeout,timeout
partial_AndOrXor:2243_values_29.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
