filename,cvc4,cvc4 --nl-ext-tplanes,cvc4 --nl-ext-tplanes --fmf-fun-rlv,cvc4 --nl-ext-tplanes --cbqi-all,cvc4 --cbqi-all,cvc4 --fmf-fun-rlv,z3
full_AddSub:1574_poison_49.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1704_undef_43.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_muldivrem:229_undef_44.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_muldivrem:876_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1040_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:287_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1795_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:230_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:364_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1614_poison_46.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1827_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:978_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:287_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1733_poison_45.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:523_undef_5.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:942_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2595_undef_4.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:887-2_undef_25.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:941_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:940_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:989_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2595_poison_13.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1870_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_InstCombineShift440_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:298_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:270_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:961_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2429_undef_34.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1574_undef_9.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:978_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:931_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2284_undef_63.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:988_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2663_values_64.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2443_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
