filename;cvc4;cvc4 --nl-ext-tplanes;cvc4 --nl-ext-tplanes --fmf-fun-rlv;cvc4 --nl-ext-tplanes --cbqi-all;cvc4 --cbqi-all;cvc4 --fmf-fun-rlv;z3
rec_AndOrXor:698_undef_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:135_undef_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AddSub:1539-2_undef_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AddSub:1614_values_56.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:942_undef_45.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1849_values_41.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1900_values_53.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:989_values_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1895_values_22.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1832_values_8.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1850_values_60.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AddSub:1043_mem_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:949_mem_47.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:287_undef_54.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_muldivrem:229_values_9.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1683-1_values_74.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:961_values_14.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:887-2_values_28.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:966_values_48.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:940_values_55.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1885_values_42.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1819_values_52.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:962_values_61.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:794_values_76.smt2;timeout;timeout;timeout;timeout;timeout;timeout;unsat
rec_AndOrXor:1869_values_23.smt2;timeout;timeout;timeout;timeout;timeout;timeout;unsat
rec_AndOrXor:1006_values_33.smt2;timeout;timeout;timeout;timeout;timeout;timeout;unsat
rec_AddSub:1614_undef_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:2231_undef_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1831_values_40.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:967_values_15.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:732-2_undef_28.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AddSub:1574_undef_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1899_values_63.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:2243_undef_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AddSub:1164_undef_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1894_values_31.smt2;timeout;timeout;timeout;timeout;timeout;timeout;unsat
rec_AndOrXor:287_mem_41.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:287_values_35.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_muldivrem:203_undef_21.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:827_values_1.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:1733_values_55.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:1146-2_values_11.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:135_values_4.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:2243_values_29.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:1829_undef_43.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:923_mem_42.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:732-2_values_44.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:2063_values_11.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:1146-2_mem_57.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AddSub:1164_values_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1146-2_undef_49.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:732-2_mem_51.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1828_values_55.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AddSub:1165_values_27.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1870_values_40.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:2367_values_4.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AddSub:1295_undef_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:941_values_30.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1880_values_36.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1140-2_values_18.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:949_values_10.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:1683-2_values_75.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_muldivrem:203_values_63.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:1827_values_18.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1819_undef_2.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AddSub:1619_undef_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:923_values_54.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AddSub:1165_undef_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AddSub:1574_values_13.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AddSub:1176_values_54.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AddSub:1619_values_63.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:923_undef_12.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:364_values_42.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:2453_values_88.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:2663_values_118.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_muldivrem:239_values_45.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:364_undef_42.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1733_undef_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AddSub:1539-2_values_43.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:364_mem_56.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_muldivrem:203_mem_12.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AddSub:1043_undef_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:942_mem_3.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:979_values_16.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:988_values_3.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:2453_undef_0.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1007_values_32.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1884_values_14.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:949_undef_47.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1140-2_undef_38.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1879_values_23.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:1140-2_mem_47.smt2;unsat;unsat;unsat;unsat;unsat;unsat;unsat
rec_AndOrXor:2595_values_36.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:1833_values_60.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:1829_values_1.smt2;timeout;timeout;timeout;timeout;timeout;timeout;unsat
rec_AndOrXor:978_values_18.smt2;timeout;timeout;timeout;timeout;timeout;timeout;unsat
rec_AndOrXor:942_values_22.smt2;timeout;timeout;timeout;timeout;timeout;timeout;unsat
rec_AddSub:1043_values_42.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:144_values_48.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:698_values_29.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AddSub:1295_values_34.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:2231_values_33.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:2265_values_25.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
rec_AndOrXor:2647_values_7.smt2;timeout;timeout;timeout;timeout;timeout;timeout;timeout
