,opt_name,reason,encoding,proved
0,AddSub:1040,poison,full,yes
1,AddSub:1040,poison,partial,yes
2,AddSub:1040,poison,qf,yes
3,AddSub:1040,undef,full,yes
4,AddSub:1040,undef,partial,yes
5,AddSub:1040,undef,qf,yes
6,AddSub:1040,values,full,no
7,AddSub:1040,values,partial,no
8,AddSub:1040,values,qf,no
9,AddSub:1043,poison,full,yes
10,AddSub:1043,poison,partial,yes
11,AddSub:1043,poison,qf,yes
12,AddSub:1043,undef,full,yes
13,AddSub:1043,undef,partial,yes
14,AddSub:1043,undef,qf,yes
15,AddSub:1043,values,full,no
16,AddSub:1043,values,partial,no
17,AddSub:1043,values,qf,no
18,AddSub:1164,poison,full,yes
19,AddSub:1164,poison,partial,yes
20,AddSub:1164,poison,qf,yes
21,AddSub:1164,undef,full,yes
22,AddSub:1164,undef,partial,yes
23,AddSub:1164,undef,qf,yes
24,AddSub:1164,values,full,yes
25,AddSub:1164,values,partial,yes
26,AddSub:1164,values,qf,yes
27,AddSub:1165,poison,full,yes
28,AddSub:1165,poison,partial,yes
29,AddSub:1165,poison,qf,yes
30,AddSub:1165,undef,full,yes
31,AddSub:1165,undef,partial,yes
32,AddSub:1165,undef,qf,yes
33,AddSub:1165,values,full,yes
34,AddSub:1165,values,partial,yes
35,AddSub:1165,values,qf,yes
36,AddSub:1176,poison,full,yes
37,AddSub:1176,poison,partial,yes
38,AddSub:1176,poison,qf,yes
39,AddSub:1176,undef,full,yes
40,AddSub:1176,undef,partial,yes
41,AddSub:1176,undef,qf,yes
42,AddSub:1176,values,full,yes
43,AddSub:1176,values,partial,yes
44,AddSub:1176,values,qf,yes
45,AddSub:1202,poison,full,yes
46,AddSub:1202,poison,partial,yes
47,AddSub:1202,poison,qf,yes
48,AddSub:1202,undef,full,yes
49,AddSub:1202,undef,partial,yes
50,AddSub:1202,undef,qf,yes
51,AddSub:1202,values,full,no
52,AddSub:1202,values,partial,no
53,AddSub:1202,values,qf,no
54,AddSub:1295,poison,full,yes
55,AddSub:1295,poison,partial,yes
56,AddSub:1295,poison,qf,yes
57,AddSub:1295,undef,full,yes
58,AddSub:1295,undef,partial,yes
59,AddSub:1295,undef,qf,yes
60,AddSub:1295,values,full,no
61,AddSub:1295,values,partial,no
62,AddSub:1295,values,qf,no
63,AddSub:1539-2,poison,full,yes
64,AddSub:1539-2,poison,partial,yes
65,AddSub:1539-2,poison,qf,yes
66,AddSub:1539-2,undef,full,yes
67,AddSub:1539-2,undef,partial,yes
68,AddSub:1539-2,undef,qf,yes
69,AddSub:1539-2,values,full,yes
70,AddSub:1539-2,values,partial,yes
71,AddSub:1539-2,values,qf,yes
72,AddSub:1560,poison,full,yes
73,AddSub:1560,poison,partial,yes
74,AddSub:1560,poison,qf,yes
75,AddSub:1560,undef,full,yes
76,AddSub:1560,undef,partial,yes
77,AddSub:1560,undef,qf,yes
78,AddSub:1560,values,full,no
79,AddSub:1560,values,partial,no
80,AddSub:1560,values,qf,no
81,AddSub:1564,poison,full,yes
82,AddSub:1564,poison,partial,yes
83,AddSub:1564,poison,qf,yes
84,AddSub:1564,undef,full,yes
85,AddSub:1564,undef,partial,yes
86,AddSub:1564,undef,qf,yes
87,AddSub:1564,values,full,no
88,AddSub:1564,values,partial,no
89,AddSub:1564,values,qf,no
90,AddSub:1574,poison,full,yes
91,AddSub:1574,poison,partial,yes
92,AddSub:1574,poison,qf,yes
93,AddSub:1574,undef,full,yes
94,AddSub:1574,undef,partial,yes
95,AddSub:1574,undef,qf,yes
96,AddSub:1574,values,full,yes
97,AddSub:1574,values,partial,yes
98,AddSub:1574,values,qf,yes
99,AddSub:1599,poison,full,yes
100,AddSub:1599,poison,partial,yes
101,AddSub:1599,poison,qf,yes
102,AddSub:1599,undef,full,yes
103,AddSub:1599,undef,partial,yes
104,AddSub:1599,undef,qf,yes
105,AddSub:1599,values,full,no
106,AddSub:1599,values,partial,no
107,AddSub:1599,values,qf,no
108,AddSub:1604,poison,full,yes
109,AddSub:1604,poison,partial,yes
110,AddSub:1604,poison,qf,yes
111,AddSub:1604,undef,full,yes
112,AddSub:1604,undef,partial,yes
113,AddSub:1604,undef,qf,yes
114,AddSub:1604,values,full,no
115,AddSub:1604,values,partial,no
116,AddSub:1604,values,qf,no
117,AddSub:1614,poison,full,yes
118,AddSub:1614,poison,partial,yes
119,AddSub:1614,poison,qf,yes
120,AddSub:1614,undef,full,yes
121,AddSub:1614,undef,partial,yes
122,AddSub:1614,undef,qf,yes
123,AddSub:1614,values,full,yes
124,AddSub:1614,values,partial,yes
125,AddSub:1614,values,qf,yes
126,AddSub:1619,poison,full,yes
127,AddSub:1619,poison,partial,yes
128,AddSub:1619,poison,qf,yes
129,AddSub:1619,undef,full,yes
130,AddSub:1619,undef,partial,yes
131,AddSub:1619,undef,qf,yes
132,AddSub:1619,values,full,yes
133,AddSub:1619,values,partial,yes
134,AddSub:1619,values,qf,yes
135,AddSub:1624,poison,full,yes
136,AddSub:1624,poison,partial,yes
137,AddSub:1624,poison,qf,yes
138,AddSub:1624,undef,full,yes
139,AddSub:1624,undef,partial,yes
140,AddSub:1624,undef,qf,yes
141,AddSub:1624,values,full,no
142,AddSub:1624,values,partial,no
143,AddSub:1624,values,qf,no
144,AndOrXor:1006,poison,full,yes
145,AndOrXor:1006,poison,partial,yes
146,AndOrXor:1006,poison,qf,yes
147,AndOrXor:1006,undef,full,yes
148,AndOrXor:1006,undef,partial,yes
149,AndOrXor:1006,undef,qf,yes
150,AndOrXor:1006,values,full,yes
151,AndOrXor:1006,values,partial,yes
152,AndOrXor:1006,values,qf,yes
153,AndOrXor:1007,poison,full,yes
154,AndOrXor:1007,poison,partial,yes
155,AndOrXor:1007,poison,qf,yes
156,AndOrXor:1007,undef,full,yes
157,AndOrXor:1007,undef,partial,yes
158,AndOrXor:1007,undef,qf,yes
159,AndOrXor:1007,values,full,yes
160,AndOrXor:1007,values,partial,yes
161,AndOrXor:1007,values,qf,yes
162,AndOrXor:1012,poison,full,yes
163,AndOrXor:1012,poison,partial,yes
164,AndOrXor:1012,poison,qf,yes
165,AndOrXor:1012,undef,full,yes
166,AndOrXor:1012,undef,partial,yes
167,AndOrXor:1012,undef,qf,yes
168,AndOrXor:1012,values,full,no
169,AndOrXor:1012,values,partial,yes
170,AndOrXor:1012,values,qf,yes
171,AndOrXor:1288,poison,full,yes
172,AndOrXor:1288,poison,partial,yes
173,AndOrXor:1288,poison,qf,yes
174,AndOrXor:1288,undef,full,yes
175,AndOrXor:1288,undef,partial,yes
176,AndOrXor:1288,undef,qf,yes
177,AndOrXor:1288,values,full,no
178,AndOrXor:1288,values,partial,no
179,AndOrXor:1288,values,qf,no
180,AndOrXor:135,poison,full,yes
181,AndOrXor:135,poison,partial,yes
182,AndOrXor:135,poison,qf,yes
183,AndOrXor:135,undef,full,yes
184,AndOrXor:135,undef,partial,yes
185,AndOrXor:135,undef,qf,yes
186,AndOrXor:135,values,full,no
187,AndOrXor:135,values,partial,no
188,AndOrXor:135,values,qf,no
189,AndOrXor:144,poison,full,yes
190,AndOrXor:144,poison,partial,yes
191,AndOrXor:144,poison,qf,yes
192,AndOrXor:144,undef,full,yes
193,AndOrXor:144,undef,partial,yes
194,AndOrXor:144,undef,qf,yes
195,AndOrXor:144,values,full,no
196,AndOrXor:144,values,partial,no
197,AndOrXor:144,values,qf,no
198,AndOrXor:151,poison,full,yes
199,AndOrXor:151,poison,partial,yes
200,AndOrXor:151,poison,qf,yes
