,opt_name,reason,proved
0,AddSub:1040,poison,yes
1,AddSub:1040,undef,yes
2,AddSub:1040,values,no
3,AddSub:1043,poison,yes
4,AddSub:1043,undef,yes
5,AddSub:1043,values,no
6,AddSub:1164,poison,yes
7,AddSub:1164,undef,yes
8,AddSub:1164,values,yes
9,AddSub:1165,poison,yes
10,AddSub:1165,undef,yes
11,AddSub:1165,values,yes
12,AddSub:1176,poison,yes
13,AddSub:1176,undef,yes
14,AddSub:1176,values,yes
15,AddSub:1202,poison,yes
16,AddSub:1202,undef,yes
17,AddSub:1202,values,no
18,AddSub:1295,poison,yes
19,AddSub:1295,undef,yes
20,AddSub:1295,values,no
21,AddSub:1539-2,poison,yes
22,AddSub:1539-2,undef,yes
23,AddSub:1539-2,values,yes
24,AddSub:1560,poison,yes
25,AddSub:1560,undef,yes
26,AddSub:1560,values,no
27,AddSub:1564,poison,yes
28,AddSub:1564,undef,yes
29,AddSub:1564,values,no
30,AddSub:1574,poison,yes
31,AddSub:1574,undef,yes
32,AddSub:1574,values,yes
33,AddSub:1599,poison,yes
34,AddSub:1599,undef,yes
35,AddSub:1599,values,yes
36,AddSub:1604,poison,yes
37,AddSub:1604,undef,yes
38,AddSub:1604,values,yes
39,AddSub:1614,poison,yes
40,AddSub:1614,undef,yes
41,AddSub:1614,values,yes
42,AddSub:1619,poison,yes
43,AddSub:1619,undef,yes
44,AddSub:1619,values,yes
45,AddSub:1624,poison,yes
46,AddSub:1624,undef,yes
47,AddSub:1624,values,no
48,AndOrXor:1006,poison,yes
49,AndOrXor:1006,undef,yes
50,AndOrXor:1006,values,yes
51,AndOrXor:1007,poison,yes
52,AndOrXor:1007,undef,yes
53,AndOrXor:1007,values,yes
54,AndOrXor:1012,poison,yes
55,AndOrXor:1012,undef,yes
56,AndOrXor:1012,values,yes
57,AndOrXor:1230,poison,yes
58,AndOrXor:1230,undef,yes
59,AndOrXor:1230,values,no
60,AndOrXor:1241,poison,yes
61,AndOrXor:1241,undef,yes
62,AndOrXor:1241,values,no
63,AndOrXor:1247,poison,yes
64,AndOrXor:1247,undef,yes
65,AndOrXor:1247,values,no
66,AndOrXor:1253,poison,yes
67,AndOrXor:1253,undef,yes
68,AndOrXor:1253,values,no
69,AndOrXor:1280,poison,yes
70,AndOrXor:1280,undef,yes
71,AndOrXor:1280,values,no
72,AndOrXor:1288,poison,yes
73,AndOrXor:1288,undef,yes
74,AndOrXor:1288,values,no
75,AndOrXor:1294,poison,yes
76,AndOrXor:1294,undef,yes
77,AndOrXor:1294,values,no
78,AndOrXor:135,poison,yes
