,opt_name,poison,undef,values,has_poison
0,AddSub:1040,yes,yes,yes,False
1,AddSub:1043,yes,yes,yes,False
2,AddSub:1164,yes,yes,yes,False
3,AddSub:1165,yes,yes,yes,False
4,AddSub:1176,yes,yes,yes,False
5,AddSub:1202,yes,yes,yes,False
6,AddSub:1295,yes,yes,yes,False
7,AddSub:1539-2,yes,yes,yes,False
8,AddSub:1560,yes,yes,yes,False
9,AddSub:1564,yes,yes,yes,False
10,AddSub:1574,yes,yes,yes,False
11,AddSub:1599,yes,yes,yes,False
12,AddSub:1604,yes,yes,yes,False
13,AddSub:1614,yes,yes,yes,False
14,AddSub:1619,yes,yes,yes,False
15,AddSub:1624,yes,yes,yes,False
16,AndOrXor:1006,yes,yes,yes,False
17,AndOrXor:1007,yes,yes,yes,False
18,AndOrXor:1012,yes,yes,yes,False
19,AndOrXor:1288,yes,yes,yes,False
20,AndOrXor:135,yes,yes,yes,False
21,AndOrXor:144,yes,yes,yes,False
22,AndOrXor:151,yes,yes,yes,False
23,AndOrXor:1683-1,yes,yes,yes,False
24,AndOrXor:1683-2,yes,yes,yes,False
25,AndOrXor:1704,yes,yes,yes,False
26,AndOrXor:1705,yes,yes,yes,False
27,AndOrXor:1733,yes,yes,yes,False
28,AndOrXor:1740,yes,yes,yes,False
29,AndOrXor:1795,yes,yes,yes,False
30,AndOrXor:1818,yes,yes,yes,False
31,AndOrXor:1819,yes,yes,yes,False
32,AndOrXor:1820,yes,yes,yes,False
33,AndOrXor:1827,yes,yes,yes,False
34,AndOrXor:1828,yes,yes,yes,False
35,AndOrXor:1829,yes,yes,yes,False
36,AndOrXor:1831,yes,yes,yes,False
37,AndOrXor:1832,yes,yes,yes,False
38,AndOrXor:1833,yes,yes,yes,False
39,AndOrXor:1844,yes,yes,yes,False
40,AndOrXor:1849,yes,yes,yes,False
41,AndOrXor:1850,yes,yes,yes,False
42,AndOrXor:1864,yes,yes,yes,False
43,AndOrXor:1869,yes,yes,yes,False
44,AndOrXor:1870,yes,yes,yes,False
45,AndOrXor:1879,yes,yes,yes,False
46,AndOrXor:1880,yes,yes,yes,False
47,AndOrXor:1884,yes,yes,yes,False
48,AndOrXor:1885,yes,yes,yes,False
49,AndOrXor:1894,yes,yes,yes,False
50,AndOrXor:1895,yes,yes,yes,False
51,AndOrXor:1899,yes,yes,yes,False
52,AndOrXor:1900,yes,yes,yes,False
53,AndOrXor:1979,yes,yes,yes,False
54,AndOrXor:2008,yes,yes,yes,False
55,AndOrXor:210,yes,yes,yes,False
56,AndOrXor:2113,yes,yes,yes,False
57,AndOrXor:2118,yes,yes,yes,False
58,AndOrXor:2123,yes,yes,yes,False
59,AndOrXor:2160,yes,yes,yes,False
60,AndOrXor:2188,yes,yes,yes,False
61,AndOrXor:2243,yes,yes,yes,False
62,AndOrXor:2247,yes,yes,yes,False
63,AndOrXor:2263,yes,yes,yes,False
64,AndOrXor:2264,yes,yes,yes,False
65,AndOrXor:2265,yes,yes,yes,False
66,AndOrXor:2284,yes,yes,yes,False
67,AndOrXor:2285,yes,yes,yes,False
68,AndOrXor:2297,yes,yes,yes,False
69,AndOrXor:230,yes,yes,yes,False
70,AndOrXor:2367,yes,yes,yes,False
71,AndOrXor:2416,yes,yes,yes,False
72,AndOrXor:2417,yes,yes,yes,False
73,AndOrXor:2429,yes,yes,yes,False
74,AndOrXor:2430,yes,yes,yes,False
75,AndOrXor:2443,yes,yes,yes,False
76,AndOrXor:2453,yes,yes,yes,False
77,AndOrXor:2475,yes,yes,yes,False
78,AndOrXor:2486,yes,yes,yes,False
79,AndOrXor:2595,yes,yes,yes,False
80,AndOrXor:2607,yes,yes,yes,False
81,AndOrXor:2617,yes,yes,yes,False
82,AndOrXor:2627,yes,yes,yes,False
83,AndOrXor:2647,yes,yes,yes,False
84,AndOrXor:2658,yes,yes,yes,False
85,AndOrXor:2663,yes,yes,yes,False
86,AndOrXor:270,yes,yes,yes,False
87,AndOrXor:273,yes,yes,yes,False
88,AndOrXor:280,yes,yes,yes,False
89,AndOrXor:287,yes,yes,yes,False
90,AndOrXor:290,yes,yes,yes,False
91,AndOrXor:298,yes,yes,yes,False
92,AndOrXor:363,yes,yes,yes,False
93,AndOrXor:364,yes,yes,yes,False
94,AndOrXor:516,yes,yes,yes,False
95,AndOrXor:523,yes,yes,yes,False
96,AndOrXor:530,yes,yes,yes,False
97,AndOrXor:537,yes,yes,yes,False
98,AndOrXor:698,yes,yes,yes,False
99,AndOrXor:709,yes,yes,yes,False
100,AndOrXor:716,yes,yes,yes,False
101,AndOrXor:732-1,yes,yes,yes,False
102,AndOrXor:732-2,yes,yes,yes,False
103,AndOrXor:745,yes,yes,yes,False
104,AndOrXor:757,yes,yes,yes,False
105,AndOrXor:794,yes,yes,yes,False
106,AndOrXor:819,yes,yes,yes,False
107,AndOrXor:827,yes,yes,yes,False
108,AndOrXor:887-1,yes,yes,yes,False
109,AndOrXor:887-2,yes,yes,yes,False
110,AndOrXor:922,yes,yes,yes,False
111,AndOrXor:923,yes,yes,yes,False
112,AndOrXor:924,yes,yes,yes,False
113,AndOrXor:931,yes,yes,yes,False
114,AndOrXor:937,yes,yes,yes,False
115,AndOrXor:940,yes,yes,yes,False
116,AndOrXor:941,yes,yes,yes,False
117,AndOrXor:942,yes,yes,yes,False
118,AndOrXor:949,yes,yes,yes,False
119,AndOrXor:961,yes,yes,yes,False
120,AndOrXor:962,yes,yes,yes,False
121,AndOrXor:966,yes,yes,yes,False
122,AndOrXor:967,yes,yes,yes,False
123,AndOrXor:978,yes,yes,yes,False
124,AndOrXor:979,yes,yes,yes,False
125,AndOrXor:988,yes,yes,yes,False
126,AndOrXor:989,yes,yes,yes,False
127,AndOrXor:994,yes,yes,yes,False
128,InstCombineShift239,yes,yes,yes,False
129,InstCombineShift279,yes,yes,yes,False
130,InstCombineShift440,yes,yes,yes,False
131,InstCombineShift476,yes,yes,yes,False
132,InstCombineShift497a,yes,yes,yes,False
133,InstCombineShift497b,yes,yes,yes,False
134,InstCombineShift497c,yes,yes,yes,False
135,InstCombineShift497d,yes,yes,yes,False
136,InstCombineShift582,yes,yes,yes,False
137,Select:1100,yes,yes,yes,False
138,Select:1105,yes,yes,yes,False
139,Select:420,yes,yes,yes,False
