,opt_name,encoding,proved
0,AddSub:1040,ahmed,no
1,AddSub:1040,combined,no
2,AddSub:1043,ahmed,no
3,AddSub:1043,combined,no
4,AddSub:1164,ahmed,yes
5,AddSub:1164,combined,yes
6,AddSub:1165,ahmed,no
7,AddSub:1165,combined,yes
8,AddSub:1176,ahmed,yes
9,AddSub:1176,combined,yes
10,AddSub:1202,ahmed,no
11,AddSub:1202,combined,no
12,AddSub:1295,ahmed,no
13,AddSub:1295,combined,no
14,AddSub:1539-2,ahmed,yes
15,AddSub:1539-2,combined,yes
16,AddSub:1560,ahmed,no
17,AddSub:1560,combined,no
18,AddSub:1564,ahmed,no
19,AddSub:1564,combined,no
20,AddSub:1574,ahmed,yes
21,AddSub:1574,combined,yes
22,AddSub:1599,ahmed,yes
23,AddSub:1599,combined,yes
24,AddSub:1604,ahmed,yes
25,AddSub:1604,combined,yes
26,AddSub:1614,ahmed,yes
27,AddSub:1614,combined,yes
28,AddSub:1619,ahmed,no
29,AddSub:1619,combined,yes
30,AddSub:1624,ahmed,no
31,AddSub:1624,combined,no
32,AndOrXor:1006,ahmed,yes
33,AndOrXor:1006,combined,yes
34,AndOrXor:1007,ahmed,yes
35,AndOrXor:1007,combined,yes
36,AndOrXor:1012,ahmed,yes
37,AndOrXor:1012,combined,yes
38,AndOrXor:1230,ahmed,no
39,AndOrXor:1230,combined,no
40,AndOrXor:1241,ahmed,no
41,AndOrXor:1241,combined,no
42,AndOrXor:1247,ahmed,no
43,AndOrXor:1247,combined,no
44,AndOrXor:1253,ahmed,no
45,AndOrXor:1253,combined,no
46,AndOrXor:1280,ahmed,no
47,AndOrXor:1280,combined,no
48,AndOrXor:1288,ahmed,no
49,AndOrXor:1288,combined,no
50,AndOrXor:1294,ahmed,no
51,AndOrXor:1294,combined,no
52,AndOrXor:135,ahmed,no
53,AndOrXor:135,combined,no
54,AndOrXor:144,ahmed,no
55,AndOrXor:144,combined,no
56,AndOrXor:151,ahmed,no
57,AndOrXor:151,combined,no
58,AndOrXor:1683-1,ahmed,yes
59,AndOrXor:1683-1,combined,yes
60,AndOrXor:1683-2,ahmed,yes
61,AndOrXor:1683-2,combined,yes
62,AndOrXor:1704,ahmed,yes
63,AndOrXor:1704,combined,yes
64,AndOrXor:1705,ahmed,yes
65,AndOrXor:1705,combined,yes
66,AndOrXor:1733,ahmed,yes
67,AndOrXor:1733,combined,yes
68,AndOrXor:1740,ahmed,yes
69,AndOrXor:1740,combined,yes
70,AndOrXor:1795,ahmed,no
71,AndOrXor:1795,combined,no
72,AndOrXor:1818,ahmed,yes
73,AndOrXor:1818,combined,yes
74,AndOrXor:1819,ahmed,yes
75,AndOrXor:1819,combined,yes
76,AndOrXor:1820,ahmed,yes
77,AndOrXor:1820,combined,yes
78,AndOrXor:1827,ahmed,yes
79,AndOrXor:1827,combined,yes
80,AndOrXor:1828,ahmed,yes
81,AndOrXor:1828,combined,yes
82,AndOrXor:1829,ahmed,yes
83,AndOrXor:1829,combined,yes
84,AndOrXor:1831,ahmed,yes
85,AndOrXor:1831,combined,yes
86,AndOrXor:1832,ahmed,yes
87,AndOrXor:1832,combined,yes
88,AndOrXor:1833,ahmed,yes
89,AndOrXor:1833,combined,yes
90,AndOrXor:1844,ahmed,yes
91,AndOrXor:1844,combined,yes
92,AndOrXor:1849,ahmed,yes
93,AndOrXor:1849,combined,yes
94,AndOrXor:1850,ahmed,yes
95,AndOrXor:1850,combined,yes
96,AndOrXor:1864,ahmed,yes
97,AndOrXor:1864,combined,yes
98,AndOrXor:1869,ahmed,yes
99,AndOrXor:1869,combined,yes
100,AndOrXor:1870,ahmed,yes
101,AndOrXor:1870,combined,yes
102,AndOrXor:1879,ahmed,yes
103,AndOrXor:1879,combined,yes
104,AndOrXor:1880,ahmed,yes
105,AndOrXor:1880,combined,yes
106,AndOrXor:1884,ahmed,yes
107,AndOrXor:1884,combined,yes
108,AndOrXor:1885,ahmed,yes
109,AndOrXor:1885,combined,yes
110,AndOrXor:1894,ahmed,yes
111,AndOrXor:1894,combined,yes
112,AndOrXor:1895,ahmed,yes
113,AndOrXor:1895,combined,yes
114,AndOrXor:1899,ahmed,yes
115,AndOrXor:1899,combined,yes
116,AndOrXor:1900,ahmed,yes
117,AndOrXor:1900,combined,yes
118,AndOrXor:1979,ahmed,no
119,AndOrXor:1979,combined,no
120,AndOrXor:2008,ahmed,no
121,AndOrXor:2008,combined,no
122,AndOrXor:2052,ahmed,no
123,AndOrXor:2052,combined,no
124,AndOrXor:2063,ahmed,no
125,AndOrXor:2063,combined,no
126,AndOrXor:210,ahmed,no
127,AndOrXor:210,combined,no
128,AndOrXor:2113,ahmed,no
129,AndOrXor:2113,combined,no
130,AndOrXor:2118,ahmed,no
131,AndOrXor:2118,combined,no
132,AndOrXor:2123,ahmed,no
133,AndOrXor:2123,combined,no
134,AndOrXor:2160,ahmed,no
135,AndOrXor:2160,combined,no
136,AndOrXor:2188,ahmed,no
137,AndOrXor:2188,combined,no
138,AndOrXor:2231,ahmed,no
139,AndOrXor:2231,combined,no
140,AndOrXor:2243,ahmed,no
141,AndOrXor:2243,combined,no
142,AndOrXor:2247,ahmed,no
143,AndOrXor:2247,combined,no
144,AndOrXor:2263,ahmed,no
145,AndOrXor:2263,combined,no
146,AndOrXor:2264,ahmed,no
147,AndOrXor:2264,combined,no
148,AndOrXor:2265,ahmed,no
149,AndOrXor:2265,combined,no
150,AndOrXor:2284,ahmed,no
151,AndOrXor:2284,combined,no
152,AndOrXor:2285,ahmed,no
153,AndOrXor:2285,combined,no
154,AndOrXor:2297,ahmed,no
155,AndOrXor:2297,combined,no
156,AndOrXor:230,ahmed,no
157,AndOrXor:230,combined,no
158,AndOrXor:2367,ahmed,no
159,AndOrXor:2367,combined,no
160,AndOrXor:2416,ahmed,no
161,AndOrXor:2416,combined,no
162,AndOrXor:2417,ahmed,no
163,AndOrXor:2417,combined,no
164,AndOrXor:2429,ahmed,no
165,AndOrXor:2429,combined,no
166,AndOrXor:2430,ahmed,no
167,AndOrXor:2430,combined,no
168,AndOrXor:2443,ahmed,no
169,AndOrXor:2443,combined,no
170,AndOrXor:2453,ahmed,yes
171,AndOrXor:2453,combined,yes
172,AndOrXor:2475,ahmed,no
173,AndOrXor:2475,combined,no
174,AndOrXor:2486,ahmed,no
175,AndOrXor:2486,combined,no
176,AndOrXor:2515,ahmed,no
177,AndOrXor:2515,combined,no
178,AndOrXor:2581,ahmed,no
179,AndOrXor:2581,combined,no
180,AndOrXor:2587,ahmed,no
181,AndOrXor:2587,combined,no
182,AndOrXor:2595,ahmed,no
183,AndOrXor:2595,combined,no
184,AndOrXor:2607,ahmed,no
185,AndOrXor:2607,combined,no
186,AndOrXor:2617,ahmed,no
187,AndOrXor:2617,combined,no
188,AndOrXor:2627,ahmed,no
189,AndOrXor:2627,combined,no
190,AndOrXor:2647,ahmed,no
191,AndOrXor:2647,combined,no
192,AndOrXor:2658,ahmed,no
193,AndOrXor:2658,combined,no
194,AndOrXor:2663,ahmed,yes
195,AndOrXor:2663,combined,yes
196,AndOrXor:270,ahmed,yes
197,AndOrXor:270,combined,yes
198,AndOrXor:273,ahmed,no
199,AndOrXor:273,combined,yes
200,AndOrXor:280,ahmed,no
201,AndOrXor:280,combined,yes
202,AndOrXor:287,ahmed,yes
203,AndOrXor:287,combined,yes
204,AndOrXor:290,ahmed,no
205,AndOrXor:290,combined,yes
206,AndOrXor:298,ahmed,no
207,AndOrXor:298,combined,yes
208,AndOrXor:363,ahmed,no
209,AndOrXor:363,combined,no
210,AndOrXor:364,ahmed,no
211,AndOrXor:364,combined,no
212,AndOrXor:516,ahmed,no
213,AndOrXor:516,combined,no
214,AndOrXor:523,ahmed,no
215,AndOrXor:523,combined,no
216,AndOrXor:530,ahmed,no
217,AndOrXor:530,combined,no
218,AndOrXor:537,ahmed,no
219,AndOrXor:537,combined,no
220,AndOrXor:698,ahmed,no
221,AndOrXor:698,combined,no
222,AndOrXor:709,ahmed,no
223,AndOrXor:709,combined,no
224,AndOrXor:716,ahmed,no
225,AndOrXor:716,combined,no
226,AndOrXor:732-1,ahmed,no
227,AndOrXor:732-1,combined,no
228,AndOrXor:732-2,ahmed,no
229,AndOrXor:732-2,combined,no
230,AndOrXor:745,ahmed,no
231,AndOrXor:745,combined,no
232,AndOrXor:757,ahmed,no
233,AndOrXor:757,combined,no
234,AndOrXor:794,ahmed,yes
235,AndOrXor:794,combined,yes
236,AndOrXor:819,ahmed,no
237,AndOrXor:819,combined,no
238,AndOrXor:827,ahmed,yes
239,AndOrXor:827,combined,yes
240,AndOrXor:887-1,ahmed,yes
241,AndOrXor:887-1,combined,yes
242,AndOrXor:887-2,ahmed,yes
243,AndOrXor:887-2,combined,yes
244,AndOrXor:922,ahmed,yes
245,AndOrXor:922,combined,yes
246,AndOrXor:923,ahmed,yes
247,AndOrXor:923,combined,yes
248,AndOrXor:924,ahmed,yes
249,AndOrXor:924,combined,yes
250,AndOrXor:931,ahmed,no
251,AndOrXor:931,combined,yes
252,AndOrXor:937,ahmed,no
253,AndOrXor:937,combined,yes
254,AndOrXor:940,ahmed,yes
255,AndOrXor:940,combined,yes
256,AndOrXor:941,ahmed,yes
257,AndOrXor:941,combined,yes
258,AndOrXor:942,ahmed,yes
259,AndOrXor:942,combined,yes
260,AndOrXor:949,ahmed,no
261,AndOrXor:949,combined,no
262,AndOrXor:961,ahmed,yes
263,AndOrXor:961,combined,yes
264,AndOrXor:962,ahmed,yes
265,AndOrXor:962,combined,yes
266,AndOrXor:966,ahmed,yes
267,AndOrXor:966,combined,yes
268,AndOrXor:967,ahmed,yes
269,AndOrXor:967,combined,yes
