,opt_name,proved
0,AddSub:1040,no
1,AddSub:1043,no
2,AddSub:1164,yes
3,AddSub:1165,yes
4,AddSub:1176,yes
5,AddSub:1202,no
6,AddSub:1295,no
7,AddSub:1539-2,yes
8,AddSub:1560,no
9,AddSub:1564,no
10,AddSub:1574,yes
11,AddSub:1599,yes
12,AddSub:1604,yes
13,AddSub:1614,yes
14,AddSub:1619,yes
15,AddSub:1624,no
16,AndOrXor:1006,yes
17,AndOrXor:1007,yes
18,AndOrXor:1012,yes
19,AndOrXor:1230,no
20,AndOrXor:1241,no
21,AndOrXor:1247,no
22,AndOrXor:1253,no
23,AndOrXor:1280,no
24,AndOrXor:1288,no
25,AndOrXor:1294,no
26,AndOrXor:135,no
27,AndOrXor:144,no
28,AndOrXor:151,no
29,AndOrXor:1683-1,yes
30,AndOrXor:1683-2,yes
31,AndOrXor:1704,yes
32,AndOrXor:1705,yes
33,AndOrXor:1733,yes
34,AndOrXor:1740,yes
35,AndOrXor:1795,no
36,AndOrXor:1818,yes
37,AndOrXor:1819,yes
38,AndOrXor:1820,yes
39,AndOrXor:1827,yes
40,AndOrXor:1828,yes
41,AndOrXor:1829,yes
42,AndOrXor:1831,yes
43,AndOrXor:1832,yes
44,AndOrXor:1833,yes
45,AndOrXor:1844,yes
46,AndOrXor:1849,yes
47,AndOrXor:1850,yes
48,AndOrXor:1864,yes
49,AndOrXor:1869,yes
50,AndOrXor:1870,yes
51,AndOrXor:1879,yes
52,AndOrXor:1880,yes
53,AndOrXor:1884,yes
54,AndOrXor:1885,yes
55,AndOrXor:1894,yes
56,AndOrXor:1895,yes
57,AndOrXor:1899,yes
58,AndOrXor:1900,yes
59,AndOrXor:1979,no
60,AndOrXor:2008,no
61,AndOrXor:2052,no
62,AndOrXor:2063,no
63,AndOrXor:210,no
64,AndOrXor:2113,no
65,AndOrXor:2118,no
66,AndOrXor:2123,no
67,AndOrXor:2160,no
68,AndOrXor:2188,no
69,AndOrXor:2231,no
70,AndOrXor:2243,no
71,AndOrXor:2247,no
72,AndOrXor:2263,no
73,AndOrXor:2264,no
74,AndOrXor:2265,no
75,AndOrXor:2284,no
76,AndOrXor:2285,no
77,AndOrXor:2297,no
78,AndOrXor:230,no
79,AndOrXor:2367,no
80,AndOrXor:2416,no
81,AndOrXor:2417,no
82,AndOrXor:2429,no
83,AndOrXor:2430,no
84,AndOrXor:2443,no
85,AndOrXor:2453,yes
86,AndOrXor:2475,no
87,AndOrXor:2486,no
88,AndOrXor:2515,no
89,AndOrXor:2581,no
90,AndOrXor:2587,no
91,AndOrXor:2595,no
92,AndOrXor:2607,no
93,AndOrXor:2617,no
94,AndOrXor:2627,no
95,AndOrXor:2647,no
96,AndOrXor:2658,no
97,AndOrXor:2663,yes
98,AndOrXor:270,yes
99,AndOrXor:273,no
100,AndOrXor:280,yes
101,AndOrXor:287,yes
102,AndOrXor:290,no
103,AndOrXor:298,yes
104,AndOrXor:363,no
105,AndOrXor:364,no
106,AndOrXor:516,no
107,AndOrXor:523,no
108,AndOrXor:530,no
109,AndOrXor:537,no
110,AndOrXor:698,no
111,AndOrXor:709,no
112,AndOrXor:716,no
113,AndOrXor:732-1,no
114,AndOrXor:732-2,no
115,AndOrXor:745,no
116,AndOrXor:757,no
117,AndOrXor:794,yes
118,AndOrXor:819,no
119,AndOrXor:827,yes
120,AndOrXor:887-1,yes
121,AndOrXor:887-2,yes
122,AndOrXor:922,yes
123,AndOrXor:923,yes
124,AndOrXor:924,yes
125,AndOrXor:931,yes
126,AndOrXor:937,yes
127,AndOrXor:940,yes
128,AndOrXor:941,yes
129,AndOrXor:942,yes
130,AndOrXor:949,yes
131,AndOrXor:961,yes
132,AndOrXor:962,yes
133,AndOrXor:966,yes
134,AndOrXor:967,yes
135,AndOrXor:978,yes
136,AndOrXor:979,yes
137,AndOrXor:988,yes
138,AndOrXor:989,yes
139,AndOrXor:994,yes
140,InstCombineShift239,no
141,InstCombineShift279,no
142,InstCombineShift440,no
143,InstCombineShift476,no
144,InstCombineShift497a,no
145,InstCombineShift497b,no
146,InstCombineShift497c,no
147,InstCombineShift497d,no
148,InstCombineShift582,no
149,Select:1100,yes
150,Select:1105,yes
151,Select:420,no
152,Select:423,no
153,Select:427,no
154,Select:430,no
155,Select:433,no
156,Select:510,yes
157,Select:575a,no
158,Select:575b,no
159,Select:576a,no
160,Select:576b,no
161,Select:637,yes
162,Select:641,yes
163,Select:699,yes
164,Select:700,yes
165,Select:704,yes
166,Select:705,yes
167,Select:719,yes
168,Select:720,yes
169,Select:727,yes
170,Select:728,yes
171,Select:740,no
172,Select:741,yes
173,Select:746,yes
174,Select:747,yes
175,muldivrem:152,yes
176,muldivrem:229,no
177,muldivrem:239,no
178,muldivrem:290:292,yes
179,muldivrem:876,yes
