,opt_name,values
0,AddSub:1040,yes
1,AddSub:1043,yes
2,AddSub:1164,yes
3,AddSub:1165,yes
4,AddSub:1176,yes
5,AddSub:1202,yes
6,AddSub:1295,yes
7,AddSub:1539-2,yes
8,AddSub:1560,yes
9,AddSub:1564,yes
10,AddSub:1574,yes
11,AddSub:1599,yes
12,AddSub:1604,yes
13,AddSub:1614,yes
14,AddSub:1619,yes
15,AddSub:1624,yes
16,AndOrXor:1006,yes
17,AndOrXor:1007,yes
18,AndOrXor:1012,yes
19,AndOrXor:1288,yes
20,AndOrXor:135,yes
21,AndOrXor:144,yes
22,AndOrXor:151,yes
23,AndOrXor:1683-1,yes
24,AndOrXor:1683-2,yes
25,AndOrXor:1704,yes
26,AndOrXor:1705,yes
27,AndOrXor:1733,yes
28,AndOrXor:1740,yes
29,AndOrXor:1795,yes
30,AndOrXor:1818,yes
31,AndOrXor:1819,yes
32,AndOrXor:1820,yes
33,AndOrXor:1827,yes
34,AndOrXor:1828,yes
35,AndOrXor:1829,yes
36,AndOrXor:1831,yes
37,AndOrXor:1832,yes
38,AndOrXor:1833,yes
39,AndOrXor:1844,yes
40,AndOrXor:1849,yes
41,AndOrXor:1850,yes
42,AndOrXor:1864,yes
43,AndOrXor:1869,yes
44,AndOrXor:1870,yes
45,AndOrXor:1879,yes
46,AndOrXor:1880,yes
47,AndOrXor:1884,yes
48,AndOrXor:1885,yes
49,AndOrXor:1894,yes
50,AndOrXor:1895,yes
51,AndOrXor:1899,yes
52,AndOrXor:1900,yes
53,AndOrXor:1979,yes
54,AndOrXor:2008,yes
55,AndOrXor:210,yes
56,AndOrXor:2113,yes
57,AndOrXor:2118,yes
58,AndOrXor:2123,yes
59,AndOrXor:2160,yes
60,AndOrXor:2188,yes
61,AndOrXor:2243,yes
62,AndOrXor:2247,yes
63,AndOrXor:2263,yes
64,AndOrXor:2264,yes
65,AndOrXor:2265,yes
66,AndOrXor:2284,yes
67,AndOrXor:2285,yes
68,AndOrXor:2297,yes
69,AndOrXor:230,yes
70,AndOrXor:2367,yes
71,AndOrXor:2416,yes
72,AndOrXor:2417,yes
73,AndOrXor:2429,yes
74,AndOrXor:2430,yes
75,AndOrXor:2443,yes
76,AndOrXor:2453,yes
77,AndOrXor:2475,yes
78,AndOrXor:2486,yes
79,AndOrXor:2595,yes
80,AndOrXor:2607,yes
81,AndOrXor:2617,yes
82,AndOrXor:2627,yes
83,AndOrXor:2647,yes
84,AndOrXor:2658,yes
85,AndOrXor:2663,yes
86,AndOrXor:270,yes
87,AndOrXor:273,yes
88,AndOrXor:280,yes
89,AndOrXor:287,yes
90,AndOrXor:290,yes
91,AndOrXor:298,yes
92,AndOrXor:363,yes
93,AndOrXor:364,yes
94,AndOrXor:516,yes
95,AndOrXor:523,yes
96,AndOrXor:530,yes
97,AndOrXor:537,yes
98,AndOrXor:698,yes
99,AndOrXor:709,yes
100,AndOrXor:716,yes
101,AndOrXor:732-1,yes
102,AndOrXor:732-2,yes
103,AndOrXor:745,yes
104,AndOrXor:757,yes
105,AndOrXor:794,yes
106,AndOrXor:819,yes
107,AndOrXor:827,yes
108,AndOrXor:887-1,yes
109,AndOrXor:887-2,yes
110,AndOrXor:922,yes
111,AndOrXor:923,yes
112,AndOrXor:924,yes
113,AndOrXor:931,yes
114,AndOrXor:937,yes
115,AndOrXor:940,yes
116,AndOrXor:941,yes
117,AndOrXor:942,yes
118,AndOrXor:949,yes
119,AndOrXor:961,yes
120,AndOrXor:962,yes
121,AndOrXor:966,yes
122,AndOrXor:967,yes
123,AndOrXor:978,yes
124,AndOrXor:979,yes
125,AndOrXor:988,yes
126,AndOrXor:989,yes
127,AndOrXor:994,yes
128,InstCombineShift239,yes
129,InstCombineShift279,yes
130,InstCombineShift440,yes
131,InstCombineShift476,yes
132,InstCombineShift497a,yes
133,InstCombineShift497b,yes
134,InstCombineShift497c,yes
135,InstCombineShift497d,yes
136,InstCombineShift582,yes
137,Select:1100,yes
138,Select:1105,yes
139,Select:420,yes
140,Select:423,yes
141,Select:427,yes
142,Select:430,yes
143,Select:433,yes
144,Select:510,yes
145,Select:575a,yes
146,Select:575b,yes
147,Select:576a,yes
148,Select:576b,yes
149,Select:637,yes
150,Select:641,yes
151,Select:699,yes
152,Select:700,yes
153,Select:704,yes
154,Select:705,yes
155,Select:719,yes
156,Select:720,yes
157,Select:727,yes
158,Select:728,yes
159,Select:740,yes
160,Select:741,yes
161,Select:746,yes
162,Select:747,yes
163,muldivrem:152,yes
164,muldivrem:229,yes
165,muldivrem:239,yes
166,muldivrem:290:292,yes
167,muldivrem:876,yes
