,encoding,config,opt_name,reason,proved
0,ahmed,cvc4,AddSub:1040,poison,yes
1,ahmed,cvc4,AddSub:1040,undef,yes
2,ahmed,cvc4,AddSub:1040,values,no
3,ahmed,cvc4,AddSub:1043,poison,yes
4,ahmed,cvc4,AddSub:1043,undef,yes
5,ahmed,cvc4,AddSub:1043,values,no
6,ahmed,cvc4,AddSub:1164,poison,yes
7,ahmed,cvc4,AddSub:1164,undef,yes
8,ahmed,cvc4,AddSub:1164,values,yes
9,ahmed,cvc4,AddSub:1165,poison,yes
10,ahmed,cvc4,AddSub:1165,undef,yes
11,ahmed,cvc4,AddSub:1165,values,no
12,ahmed,cvc4,AddSub:1176,poison,yes
13,ahmed,cvc4,AddSub:1176,undef,yes
14,ahmed,cvc4,AddSub:1176,values,yes
15,ahmed,cvc4,AddSub:1202,poison,yes
16,ahmed,cvc4,AddSub:1202,undef,yes
17,ahmed,cvc4,AddSub:1202,values,no
18,ahmed,cvc4,AddSub:1295,poison,yes
19,ahmed,cvc4,AddSub:1295,undef,yes
20,ahmed,cvc4,AddSub:1295,values,no
21,ahmed,cvc4,AddSub:1539-2,poison,yes
22,ahmed,cvc4,AddSub:1539-2,undef,yes
23,ahmed,cvc4,AddSub:1539-2,values,yes
24,ahmed,cvc4,AddSub:1560,poison,yes
25,ahmed,cvc4,AddSub:1560,undef,yes
26,ahmed,cvc4,AddSub:1560,values,no
27,ahmed,cvc4,AddSub:1564,poison,yes
28,ahmed,cvc4,AddSub:1564,undef,yes
29,ahmed,cvc4,AddSub:1564,values,no
30,ahmed,cvc4,AddSub:1574,poison,yes
31,ahmed,cvc4,AddSub:1574,undef,yes
32,ahmed,cvc4,AddSub:1574,values,yes
33,ahmed,cvc4,AddSub:1599,poison,yes
34,ahmed,cvc4,AddSub:1599,undef,yes
35,ahmed,cvc4,AddSub:1599,values,yes
36,ahmed,cvc4,AddSub:1604,poison,yes
37,ahmed,cvc4,AddSub:1604,undef,yes
38,ahmed,cvc4,AddSub:1604,values,yes
39,ahmed,cvc4,AddSub:1614,poison,yes
40,ahmed,cvc4,AddSub:1614,undef,yes
41,ahmed,cvc4,AddSub:1614,values,yes
42,ahmed,cvc4,AddSub:1619,poison,yes
43,ahmed,cvc4,AddSub:1619,undef,yes
44,ahmed,cvc4,AddSub:1619,values,no
45,ahmed,cvc4,AddSub:1624,poison,yes
46,ahmed,cvc4,AddSub:1624,undef,yes
47,ahmed,cvc4,AddSub:1624,values,no
48,ahmed,cvc4,AndOrXor:1006,poison,yes
49,ahmed,cvc4,AndOrXor:1006,undef,yes
50,ahmed,cvc4,AndOrXor:1006,values,yes
51,ahmed,cvc4,AndOrXor:1007,poison,yes
52,ahmed,cvc4,AndOrXor:1007,undef,yes
53,ahmed,cvc4,AndOrXor:1007,values,yes
54,ahmed,cvc4,AndOrXor:1012,poison,yes
55,ahmed,cvc4,AndOrXor:1012,undef,yes
56,ahmed,cvc4,AndOrXor:1012,values,yes
57,ahmed,cvc4,AndOrXor:1230,poison,yes
58,ahmed,cvc4,AndOrXor:1230,undef,yes
59,ahmed,cvc4,AndOrXor:1230,values,no
60,ahmed,cvc4,AndOrXor:1241,poison,yes
61,ahmed,cvc4,AndOrXor:1241,undef,yes
62,ahmed,cvc4,AndOrXor:1241,values,no
63,ahmed,cvc4,AndOrXor:1247,poison,yes
64,ahmed,cvc4,AndOrXor:1247,undef,yes
65,ahmed,cvc4,AndOrXor:1247,values,no
66,ahmed,cvc4,AndOrXor:1253,poison,yes
67,ahmed,cvc4,AndOrXor:1253,undef,yes
68,ahmed,cvc4,AndOrXor:1253,values,no
69,ahmed,cvc4,AndOrXor:1280,poison,yes
70,ahmed,cvc4,AndOrXor:1280,undef,yes
71,ahmed,cvc4,AndOrXor:1280,values,no
72,ahmed,cvc4,AndOrXor:1288,poison,yes
73,ahmed,cvc4,AndOrXor:1288,undef,yes
74,ahmed,cvc4,AndOrXor:1288,values,no
75,ahmed,cvc4,AndOrXor:1294,poison,yes
76,ahmed,cvc4,AndOrXor:1294,undef,yes
77,ahmed,cvc4,AndOrXor:1294,values,no
78,ahmed,cvc4,AndOrXor:135,poison,yes
79,ahmed,cvc4,AndOrXor:135,undef,yes
80,ahmed,cvc4,AndOrXor:135,values,no
81,ahmed,cvc4,AndOrXor:144,poison,yes
82,ahmed,cvc4,AndOrXor:144,undef,yes
83,ahmed,cvc4,AndOrXor:144,values,no
