encoding,config,opt_name,boundness,reason,proved
full,cvc4_cbqi,AddSub:1040,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1040,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1040,unbounded,values,no
full,cvc4_cbqi,AddSub:1043,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1043,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1043,unbounded,values,no
full,cvc4_cbqi,AddSub:1164,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1164,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1164,unbounded,values,yes
full,cvc4_cbqi,AddSub:1165,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1165,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1165,unbounded,values,yes
full,cvc4_cbqi,AddSub:1176,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1176,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1176,unbounded,values,yes
full,cvc4_cbqi,AddSub:1202,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1202,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1202,unbounded,values,no
full,cvc4_cbqi,AddSub:1295,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1295,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1295,unbounded,values,no
full,cvc4_cbqi,AddSub:1539-2,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1539-2,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1539-2,unbounded,values,yes
full,cvc4_cbqi,AddSub:1560,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1560,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1560,unbounded,values,no
full,cvc4_cbqi,AddSub:1564,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1564,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1564,unbounded,values,no
full,cvc4_cbqi,AddSub:1574,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1574,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1574,unbounded,values,yes
full,cvc4_cbqi,AddSub:1599,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1599,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1599,unbounded,values,no
full,cvc4_cbqi,AddSub:1604,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1604,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1604,unbounded,values,no
full,cvc4_cbqi,AddSub:1614,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1614,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1614,unbounded,values,yes
full,cvc4_cbqi,AddSub:1619,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1619,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1619,unbounded,values,yes
full,cvc4_cbqi,AddSub:1624,unbounded,poison,yes
full,cvc4_cbqi,AddSub:1624,unbounded,undef,yes
full,cvc4_cbqi,AddSub:1624,unbounded,values,no
full,cvc4_cbqi,AndOrXor:1006,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1006,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1006,unbounded,values,no
full,cvc4_cbqi,AndOrXor:1007,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1007,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1007,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1012,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1012,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1012,unbounded,values,no
full,cvc4_cbqi,AndOrXor:1288,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1288,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1288,unbounded,values,no
full,cvc4_cbqi,AndOrXor:135,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:135,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:135,unbounded,values,no
full,cvc4_cbqi,AndOrXor:144,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:144,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:144,unbounded,values,no
full,cvc4_cbqi,AndOrXor:151,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:151,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:151,unbounded,values,no
full,cvc4_cbqi,AndOrXor:1683-1,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1683-1,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1683-1,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1683-2,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1683-2,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1683-2,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1704,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1704,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1704,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1705,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1705,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1705,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1733,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1733,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1733,unbounded,values,no
full,cvc4_cbqi,AndOrXor:1740,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1740,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1740,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1795,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1795,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1795,unbounded,values,no
full,cvc4_cbqi,AndOrXor:1818,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1818,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1818,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1819,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1819,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1819,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1820,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1820,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1820,unbounded,values,no
full,cvc4_cbqi,AndOrXor:1827,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1827,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1827,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1828,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1828,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1828,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1829,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1829,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1829,unbounded,values,no
full,cvc4_cbqi,AndOrXor:1831,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1831,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1831,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1832,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1832,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1832,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1833,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1833,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1833,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1844,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1844,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1844,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1849,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1849,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1849,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1850,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1850,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1850,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1864,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1864,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1864,unbounded,values,no
full,cvc4_cbqi,AndOrXor:1869,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1869,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1869,unbounded,values,no
full,cvc4_cbqi,AndOrXor:1870,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1870,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1870,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1879,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1879,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1879,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1880,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1880,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1880,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1884,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1884,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1884,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1885,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1885,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1885,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1894,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1894,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1894,unbounded,values,no
full,cvc4_cbqi,AndOrXor:1895,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1895,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1895,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1899,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1899,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1899,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1900,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1900,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1900,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:1979,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:1979,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:1979,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2008,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2008,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2008,unbounded,values,no
full,cvc4_cbqi,AndOrXor:210,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:210,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:210,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2113,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2113,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2113,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2118,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2118,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2118,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2123,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2123,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2123,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2160,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2160,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2160,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2188,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2188,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2188,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2243,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2243,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2243,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2247,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2247,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2247,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2263,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2263,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2263,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2264,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2264,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2264,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2265,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2265,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2265,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2284,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2284,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2284,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2285,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2285,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2285,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2297,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2297,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2297,unbounded,values,no
full,cvc4_cbqi,AndOrXor:230,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:230,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:230,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2367,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2367,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2367,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2416,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2416,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2416,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2417,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2417,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2417,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2429,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2429,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2429,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2430,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2430,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2430,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2443,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2443,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2443,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2453,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2453,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2453,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:2475,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2475,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2475,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2486,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2486,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2486,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2595,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2595,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2595,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2607,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2607,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2607,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2617,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2617,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2617,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2627,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2627,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2627,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2647,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2647,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2647,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2658,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2658,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2658,unbounded,values,no
full,cvc4_cbqi,AndOrXor:2663,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:2663,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:2663,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:270,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:270,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:270,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:273,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:273,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:273,unbounded,values,no
full,cvc4_cbqi,AndOrXor:280,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:280,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:280,unbounded,values,no
full,cvc4_cbqi,AndOrXor:287,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:287,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:287,unbounded,values,yes
full,cvc4_cbqi,AndOrXor:290,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:290,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:290,unbounded,values,no
full,cvc4_cbqi,AndOrXor:298,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:298,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:298,unbounded,values,no
full,cvc4_cbqi,AndOrXor:363,unbounded,poison,yes
full,cvc4_cbqi,AndOrXor:363,unbounded,undef,yes
full,cvc4_cbqi,AndOrXor:363,unbounded,values,no
full,cvc4_cbqi,AndOrXor:364,unbounded,poison,yes
