,encoding,config,proved
0,combined,cvc4_tplanes,417
1,combined,cvc4_tplanes_saturate_no_e_matching,403
2,combined,z3_default,402
3,full,cvc4_tplanes,407
4,full,cvc4_tplanes_saturate_no_e_matching,401
5,full,z3_default,399
6,partial,cvc4_tplanes,417
7,partial,cvc4_tplanes_saturate_no_e_matching,408
8,partial,z3_default,402
9,qf,cvc4_tplanes,416
10,qf,cvc4_tplanes_saturate_no_e_matching,410
11,qf,z3_default,402
12,rec,cvc4_tplanes,378
13,rec,cvc4_tplanes_saturate_no_e_matching,407
14,rec,z3_default,391
