,encoding,opt_name,reason,proved
0,full,AddSub:1040,poison,yes
1,full,AddSub:1040,undef,yes
2,full,AddSub:1040,values,no
3,full,AddSub:1043,poison,yes
4,full,AddSub:1043,undef,yes
5,full,AddSub:1043,values,no
6,full,AddSub:1164,poison,yes
7,full,AddSub:1164,undef,yes
8,full,AddSub:1164,values,yes
9,full,AddSub:1165,poison,yes
10,full,AddSub:1165,undef,yes
11,full,AddSub:1165,values,yes
12,full,AddSub:1176,poison,yes
13,full,AddSub:1176,undef,yes
14,full,AddSub:1176,values,yes
15,full,AddSub:1202,poison,yes
16,full,AddSub:1202,undef,yes
17,full,AddSub:1202,values,no
18,full,AddSub:1295,poison,yes
19,full,AddSub:1295,undef,yes
20,full,AddSub:1295,values,no
21,full,AddSub:1539-2,poison,yes
22,full,AddSub:1539-2,undef,yes
23,full,AddSub:1539-2,values,yes
24,full,AddSub:1560,poison,yes
25,full,AddSub:1560,undef,yes
26,full,AddSub:1560,values,no
27,full,AddSub:1564,poison,yes
28,full,AddSub:1564,undef,yes
29,full,AddSub:1564,values,no
30,full,AddSub:1574,poison,yes
31,full,AddSub:1574,undef,yes
32,full,AddSub:1574,values,yes
33,full,AddSub:1599,poison,yes
34,full,AddSub:1599,undef,yes
35,full,AddSub:1599,values,no
36,full,AddSub:1604,poison,yes
37,full,AddSub:1604,undef,yes
38,full,AddSub:1604,values,no
39,full,AddSub:1614,poison,yes
40,full,AddSub:1614,undef,yes
41,full,AddSub:1614,values,yes
42,full,AddSub:1619,poison,yes
43,full,AddSub:1619,undef,yes
44,full,AddSub:1619,values,yes
45,full,AddSub:1624,poison,yes
46,full,AddSub:1624,undef,yes
47,full,AddSub:1624,values,no
48,full,AndOrXor:1006,poison,yes
49,full,AndOrXor:1006,undef,yes
50,full,AndOrXor:1006,values,yes
51,full,AndOrXor:1007,poison,yes
52,full,AndOrXor:1007,undef,yes
53,full,AndOrXor:1007,values,yes
54,full,AndOrXor:1012,poison,yes
55,full,AndOrXor:1012,undef,yes
56,full,AndOrXor:1012,values,no
57,full,AndOrXor:1288,poison,yes
58,full,AndOrXor:1288,undef,yes
59,full,AndOrXor:1288,values,no
60,full,AndOrXor:135,poison,yes
61,full,AndOrXor:135,undef,yes
62,full,AndOrXor:135,values,no
